Questions,Category
About what proportion of the population of the US is living on farms?,K1
Correctly label the brain lobes indicated on the diagram below,K1
Define compound interest.,K1
Define four types of traceability,K1
Define mercantilism.,K1
Define stream bank floodplain and substrate.,K1
Define the meaning of the Olympic Motto.,K1
Draw and label a diagram of a typical stream.,K1
Draw the basic outline of a page of notes using the Cornell Method?,K1
Draw the block diagram of the central processing unit,K1
Draw the flow chart of the PNK system,K1
How many instructions in the instruction set of RISC computer?,K1
How many kilometers from your home to the university,K1
How many loop statement available in c++?,K1
How many states are there in USA,K1
How many years does this animal live?,K1
How much data can be stored in the cach memory,K1
How much did he pay for his car,K1
How much is your weight,K1
How much time did he took to build a house,K1
How much water does an elephant drink,K1
Identify a phrase as a simile,K1
Identify a property commutative additive etc,K1
Identify fractions from a pictorial representation,K1
Identify ordinal positions,K1
Identify the correct definition of osmosis,K1
Identify the five major prophets of the Old Testament.,K1
Identify the part of a eukaryotic cell.,K1
Identify the standard peripheral components of a computer.,K1
Identify which word begins with the same sound as the s in sun,K1
in which countries is arabic language spoken,K1
in which continent does the state of suriname fall,K1
In Which part of the world does he live,K1
Label any Olympic sporting apparatus with design features.,K1
Label the parts of the following insects: Grasshopper,K1
Label the parts of the microscope shown on the right,K1
List four types of clauses mentioned in the article,K1
List reserved words in C programming.,K1
List the characteristics peculiar to the Cubist movement.,K1
List the levels in Bloom's Taxonomy.,K1
List the procedure to draw a mixed potential or Evans' diagram,K1
List the steps involved in titration.,K1
List three characteristics that are unique to the Cubist movement.,K1
List three predominant economic systems that exist,K1
Look at the symbol. What is the symbols purpose on a map?,K1
Make a list of facts you learned from the story.,K1
Name 5 steps that follow the taking of notes within 24 hours or less?,K1
Name the artist who painted the Mona Lisa.,K1
Name the food groups and at least two items of food in each group.,K1
Name the four major food groups.,K1
Name the main characters in the story.,K1
Name the property that states that,K1
Please label the diagram below:,K1
Recall basic math facts,K1
Recall locations of a historical events,K1
Recall the definition of the formula datatype from your assignment.,K1
Recall the equation for the Ideal Gas Law.,K1
Recall the following pictoral example of an implementation of some queue operations,K1
recall the supply voltage constraints,K1
Recite a policy of immigration in Europe.,K1
Recite the poem Auto Wreck.,K1
Recite the principles of the Data Protection Act.,K1
Recite the the Gaussian law,K1
State four attributes of well engineered software.,K1
State how to find a word in a dictionary,K1
State the characteristics of each type of corrosion testing studied,K1
State the definition of application in Bloom's Taxonomy.,K1
State the formula for the area of a circle,K1
State the guidelines to design an anodic protection system,K1
State the pattern for expressing time in French.,K1
What is the boiling point of water?,K1
What is the chemical symbol for gold?,K1
Who invented the telephone?,K1
List the parts of a plant cell.,K1
Define gravity.,K1
What year was the Eiffel Tower built?,K1
What is Newton's first law of motion?,K1
Name the three branches of government.,K1
What is the capital of France?,K1
List the primary colors.,K1
State the Pythagorean theorem.,K1
What is the atomic number of carbon?,K1
Identify the largest ocean on Earth.,K1
Recall the date of the signing of the Declaration of Independence.,K1
What is the speed of light?,K1
Name the planets in our solar system.,K1
Define photosynthesis.,K1
What is the freezing point of water in Celsius?,K1
List the continents of the world.,K1
What is the formula for calculating area of a rectangle?,K1
Describe 4 types of coupling in software design.,K2
Describe how Phillip and Timothy survived on the Cay.,K2
Describe in prose what is shown in graph form.,K2
Describe in your own words how to borrow a book from the library.,K2
Describe in your own words how to copy text from one program into another.,K2
Describe in your own words what happens when a stream's velocity slows.,K2
Describe in your own words what is meant by a sprained ankle.,K2
Describe nuclear transport to a lay person.,K2
Describe the Pareto Principle in statistical software quality assurance.,K2
Describe what goes in each of the four areas on the first page of notes,K2
Describe what took place as the Hato was sinking.,K2
Describe how the linear polarization method can yield corrosion rates,K2
Describe the major clinical differences between visceral and somatic pain,K2
Briefly describe the author's approach to the liabilities of the GOTO statement,K2
Describe what happened at the scene?,K2
Determine the authors point of view,K2
Determine the next number in a sequence,K2
Discuss the nature of socialism.,K2
Explain how Timothy saved Phillip's life.,K2
Explain in one's own words how to create a query in a database.,K2
Explain in your own words what a recessive gene is.,K2
Explain in your own words what do you mean by the term economics?,K2
Explain in your own words what is meant by mercantilism.,K2
Explain the causes of historical events,K2
Explain the communicative property.,K2
Explain the double meaning the author attributes to the term successive action descriptions,K2
Explain how photosynthesis occurs.,K2
Describe the function of the liver.,K2
Summarize the causes of the French Revolution.,K2
Explain why objects fall to the ground.,K2
Interpret the meaning of this paragraph.,K2
Explain how a bill becomes a law.,K2
Describe the water cycle in your own words.,K2
Summarize the main points of the article.,K2
Explain the difference between DNA and RNA.,K2
Paraphrase the following quote.,K2
Describe the process of mitosis.,K2
Interpret the data shown in this graph.,K2
Explain the theory of evolution.,K2
Summarize the plot of Romeo and Juliet.,K2
Describe how the heart pumps blood.,K2
Explain the concept of supply and demand.,K2
Classify the following animals as herbivores or carnivores.,K2
Explain how climate change affects polar bears.,K2
Describe the structure of an atom.,K2
Interpret the symbolism in this poem.,K2
Complete an analogy: analogy tasks are inference tasks,K2
Calculate the area of a circle with radius 7 cm.,K3
Use Newton's second law to find force when mass is 5 kg and acceleration is 3 m/s².,K3
Solve the equation 4x + 6 = 18.,K3
Apply Ohm's law to find current when voltage is 9V and resistance is 3Ω.,K3
Demonstrate how to write a for loop in Python.,K3
Calculate the velocity of the car,K3
Construct the equation in slope intercept form.,K3
Create a simulation.,K3
Demonstrate how to create a graph.,K3
Determine the amount of,K3
Do you know an instance where?,K3
Dramatize the importance of,K3
Employ the time line.,K3
Go back to the book and pick out information that tells you,K3
"How would you use, , ?",K3
Illustrate how you would go about entering a conversation.,K3
Implement a sort.,K3
Interpret these data from the graph to find the half-life.,K3
Locate details of,K3
Locate the location of,K3
Make use of the evidence or information.,K3
Manipulate,K3
Modify and change the parameters.,K3
Apply the formula to calculate compound interest.,K3
Use the quadratic formula to solve x² + 5x + 6 = 0.,K3
Calculate the perimeter of a rectangle with length 8 cm and width 5 cm.,K3
Apply the Pythagorean theorem to find the hypotenuse.,K3
Demonstrate how to balance this chemical equation.,K3
Solve for x in the equation 3x - 7 = 14.,K3
Calculate the mean median and mode of this dataset.,K3
Apply Newton's third law to explain rocket propulsion.,K3
Use the distance formula to find the distance between two points.,K3
Implement a binary search algorithm.,K3
Demonstrate the steps to perform CPR.,K3
Calculate the volume of a cylinder with radius 4 cm and height 10 cm.,K3
Apply the ideal gas law to find the pressure.,K3
Solve this system of linear equations.,K3
Use trigonometry to find the height of the building.,K3
Calculate the percentage increase from 50 to 75.,K3
Apply Kirchhoff's laws to analyze this circuit.,K3
Demonstrate how to convert Fahrenheit to Celsius.,K3
Construct a timeline of World War II events.,K3
Analyze safe and dangerous aspects of these features.,K4
Analyze the characteristics of frogs.,K4
Analyze the movements and sounds of a frog.,K4
Compare and contrast animals that the class has made.,K4
Compare and contrast our school to other communities.,K4
Compare and contrast the waterfall model with the prototyping model.,K4
Compare and contrast two characters in the book.,K4
Compare fall and spring,K4
Compare herbatious and carnivorous animals on a Venn diagram.,K4
Compare how different children come to school.,K4
Compare the place where the story happened with where you live.,K4
Compare this book to the last book you read.,K4
Compare three celebrations using a Venn diagram.,K4
Compare two dog food commercials. What is the difference between them and how do they both sell their products?,K4
Compare two of the characters in this book.,K4
Contrast building in the coastal zone with building in a river floodplain.,K4
Contrast Olympic athletes of today with athletes of past Olympic games.,K4
Differentiate between call by value and call by reference.,K4
Differentiate between a dictatorship and a democracy.,K4
Differentiate between plant and animal cells.,K4
Examine the characters in the story.,K4
Break down the components of a computer system.,K4
Compare and contrast capitalism and socialism.,K4
Analyze the impact of globalization on developing countries.,K4
Analyze the economic effects of trade policies.,K4
Analyze the factors contributing to climate change.,K4
Analyze the relationship between education and income.,K4
Analyze the causes of World War I.,K4
Analyze the impact of technology on society.,K4
Analyze the effects of urbanization.,K4
Examine how supply chain disruptions affect businesses.,K4
Examine the factors that influence consumer behavior.,K4
Examine the impact of immigration on the economy.,K4
Examine the relationship between inflation and unemployment.,K4
What are the similarities and differences between mitosis and meiosis?,K4
Analyze the causes of the American Civil War.,K4
Examine the relationship between supply and demand.,K4
